age,education-num,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country
30,9.0,40, Private, HS-grad, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander, Female, United-States
77,10.0,6,, Some-college, Married-civ-spouse,, Husband, White, Male, United-States
44,12.0,50, Private, Assoc-acdm, Never-married, Prof-specialty, Unmarried, Black, Female, United-States
53,10.0,50, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
41,10.0,40, Federal-gov, Some-college, Married-civ-spouse, Transport-moving, Wife, White, Female, United-States
50,14.0,50, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
30,13.0,40, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
37,13.0,47, Private, Bachelors, Married-civ-spouse, Exec-managerial, Other-relative, White, Male, United-States
26,9.0,36, Private, HS-grad, Married-civ-spouse, Sales, Husband, Black, Male, United-States
48,14.0,40, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
59,9.0,40, Federal-gov, HS-grad, Widowed, Sales, Unmarried, White, Female, Germany
24,13.0,35, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Female, United-States
46,10.0,50, Private, Some-college, Married-civ-spouse, Sales, Husband, White, Male, United-States
33,14.0,40, Private, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
27,9.0,40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
44,10.0,40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
31,12.0,40, Federal-gov, Assoc-acdm, Never-married, Adm-clerical, Not-in-family, White, Male, United-States
35,15.0,75, Private, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
50,9.0,40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
50,9.0,35, Private, HS-grad, Divorced, Adm-clerical, Unmarried, White, Female, United-States
48,13.0,40, Private, Bachelors, Divorced, Sales, Not-in-family, Black, Male, United-States
32,9.0,50, Private, HS-grad, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
33,9.0,40, Federal-gov, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
39,10.0,80, Self-emp-not-inc, Some-college, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States
32,11.0,40, Federal-gov, Assoc-voc, Never-married, Tech-support, Own-child, Black, Male, United-States
50,9.0,40, Private, HS-grad, Separated, Craft-repair, Not-in-family, Black, Male, United-States
55,13.0,40,, Bachelors, Married-civ-spouse,, Husband, White, Male, United-States
50,10.0,35, Private, Some-college, Married-civ-spouse, Adm-clerical, Other-relative, White, Female, United-States
22,9.0,40, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Female, United-States
60,14.0,40, Private, Masters, Divorced, Prof-specialty, Other-relative, Black, Male, United-States
25,9.0,45, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States
28,14.0,40, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female, United-States
55,9.0,50, Private, HS-grad, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
23,9.0,40, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female, United-States
53,13.0,43, Private, Bachelors, Divorced, Sales, Not-in-family, White, Female, United-States
49,9.0,60,, HS-grad, Married-civ-spouse,, Wife, White, Female, United-States
26,10.0,40, Private, Some-college, Married-civ-spouse, Tech-support, Husband, White, Male, United-States
31,5.0,25,, 9th, Divorced,, Not-in-family, White, Female, United-States
23,13.0,25, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States
47,9.0,60, Private, HS-grad, Divorced, Machine-op-inspct, Unmarried, White, Female, United-States
28,9.0,40, Private, HS-grad, Never-married, Transport-moving, Not-in-family, Other, Male, United-States
44,13.0,35, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
51,14.0,40, Local-gov, Masters, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
37,16.0,60, Self-emp-not-inc, Doctorate, Never-married, Prof-specialty, Not-in-family, White, Female, United-States
22,10.0,40, Private, Some-college, Never-married, Other-service, Not-in-family, White, Male, United-States
64,13.0,40, State-gov, Bachelors, Divorced, Tech-support, Not-in-family, White, Male, United-States
27,10.0,40, Private, Some-college, Never-married, Transport-moving, Other-relative, White, Male, United-States
61,9.0,40,, HS-grad, Married-civ-spouse,, Husband, White, Male, United-States
34,13.0,60, Local-gov, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
26,9.0,50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
38,10.0,60, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
42,13.0,32, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male, United-States
33,14.0,60, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, Canada
30,13.0,25, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male, United-States
34,9.0,48, Private, HS-grad, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, United-States
30,9.0,40, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
21,10.0,10, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States
21,9.0,40, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States
19,10.0,20, Private, Some-college, Never-married, Other-service, Other-relative, White, Female, United-States
40,13.0,60, Self-emp-inc, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
27,13.0,50, Private, Bachelors, Never-married, Tech-support, Other-relative, White, Male, United-States
52,10.0,40, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, Germany
47,13.0,55, Private, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
27,13.0,45, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
52,10.0,50, Private, Some-college, Divorced, Sales, Unmarried, White, Female, United-States
26,9.0,50, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
26,13.0,48, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male, United-States
50,4.0,35, Private, 7th-8th, Married-civ-spouse, Other-service, Wife, White, Female,
55,9.0,35, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Own-child, White, Male, United-States
30,9.0,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States
50,12.0,45, Private, Assoc-acdm, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, United-States
53,9.0,40, Private, HS-grad, Divorced, Other-service, Not-in-family, White, Female, United-States
28,14.0,30, Self-emp-not-inc, Masters, Married-civ-spouse, Exec-managerial, Wife, White, Female, United-States
23,10.0,45, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, United-States
46,10.0,40, Private, Some-college, Never-married, Handlers-cleaners, Not-in-family, White, Male, United-States
42,13.0,52, Federal-gov, Bachelors, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
43,7.0,42, Private, 11th, Never-married, Transport-moving, Not-in-family, White, Male, United-States
39,14.0,65, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
22,10.0,40, Private, Some-college, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Female, Vietnam
17,7.0,15, Private, 11th, Never-married, Sales, Own-child, Black, Female, United-States
43,9.0,45, Self-emp-not-inc, HS-grad, Divorced, Other-service, Unmarried, White, Male, United-States
54,16.0,45, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
54,,40, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female, United-States
42,9.0,40, Private, HS-grad, Separated, Handlers-cleaners, Unmarried, White, Male, Poland
42,9.0,60, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male, United-States
34,9.0,40, Private, HS-grad, Married-civ-spouse, Exec-managerial, Wife, Black, Female, United-States
38,10.0,55, Private, Some-college, Separated, Machine-op-inspct, Not-in-family, White, Male, United-States
36,13.0,45, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States
35,8.0,30, Private, 12th, Separated, Other-service, Not-in-family, White, Female, United-States
51,10.0,40, Federal-gov, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States
43,10.0,40,, Some-college, Divorced,, Not-in-family, White, Female, United-States
27,12.0,40, Private, Assoc-acdm, Never-married, Sales, Own-child, White, Female, United-States
43,10.0,40, Private, Some-college, Divorced, Prof-specialty, Unmarried, Black, Female, United-States
39,9.0,40, Self-emp-not-inc, HS-grad, Married-civ-spouse, Farming-fishing, Husband, White, Male, United-States
57,9.0,30, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male, United-States
45,11.0,45, Private, Assoc-voc, Widowed, Exec-managerial, Not-in-family, White, Female, United-States
17,9.0,40, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States
35,5.0,40, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Husband, Black, Male, United-States
18,10.0,25, Private, Some-college, Never-married, Other-service, Own-child, White, Female, United-States
40,9.0,15, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States
19,9.0,40, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female, United-States
51,4.0,40, Private, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States
20,10.0,25, Private, Some-college, Never-married, Sales, Not-in-family, White, Female, United-States
64,9.0,16, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States
53,14.0,55, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male, United-States
31,13.0,40, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,
23,10.0,40, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States
19,10.0,20, Private, Some-college, Never-married, Sales, Own-child, White, Male, United-States
